OBJECTID,Land Use Type,Acres,Shape__Area,Shape__Length
10508,Non-urban Developed,8.89529305,387478.984634399,4278.61095335605
10509,Non-urban Developed,10.71146022,466591.230545044,3916.91638947672
10510,Non-urban Developed,8.71759631,379738.514541626,3800.26291315641
10511,Non-urban Developed,5.70097657,248334.5519104,3185.72499987407
10512,Non-urban Developed,3.88914312,169411.082717896,1801.12326989328
10513,Non-urban Developed,13.1426837,572495.33039856,5191.9985087845
10514,Non-urban Developed,0.79799164,34760.5178756714,785.53409767405
10515,Non-urban Developed,0.9381485,40865.750995636,944.309753068948
10516,Non-urban Developed,5.17513857,225429.047393799,2242.73311485564
10517,Non-urban Developed,5.02246654,218778.653511047,1939.59063875622
10518,Non-urban Developed,1.49679415,65200.3565750122,1031.33269678671
10519,Non-urban Developed,1.89342894,82477.7689208984,1408.64539852303
10520,Non-urban Developed,12.01271371,523273.835266113,3716.36684595178
10521,Non-urban Developed,1.05419033,45920.533203125,836.42482977328
10522,Non-urban Developed,1.85241486,80691.1953887939,1285.80678393195
10523,Non-urban Developed,3.08755481,134493.894248962,2486.52824133375
10524,Non-urban Developed,1.49337652,65051.4846038818,1031.34796373315
10525,Non-urban Developed,1.48916211,64867.9048080444,1008.60105016782
10526,Non-urban Developed,12.21015876,531874.542171478,4127.08512901982
10527,Non-urban Developed,1.12475169,48994.186088562,1130.49897920234
10528,Non-urban Developed,11.29541325,492028.225776672,4351.79591003598
10529,Non-urban Developed,1.93159471,84140.2699050903,1490.3990154115
10530,Non-urban Developed,2.02164412,88062.8223190308,1121.26699775421
10531,Non-urban Developed,1.89596268,82588.1386260986,1118.80097706154
10532,Non-urban Developed,2.09734981,91360.5625457764,1283.73761423105
10533,Non-urban Developed,0.53230257,23187.10131073,585.639944310801
10534,Non-urban Developed,2.8871162,125762.788093567,1694.74466489119
10535,Non-urban Developed,2.86754186,124910.129714966,1783.66177683204
10536,Non-urban Developed,1.12383815,48954.392364502,920.639168915032
10537,Non-urban Developed,13.12835833,571871.317596436,6719.27581767962
10538,Non-urban Developed,1.91960368,83617.940700531,1231.13558127641
10539,Non-urban Developed,1.0061338,43827.1907730103,1147.7470466985
10540,Non-urban Developed,1.07877811,46991.5772018433,899.741452418071
10541,Non-urban Developed,2.41801707,105328.829154968,1625.40767136851
10542,Non-urban Developed,1.53654741,66932.0086898804,1135.69559417782
10543,Non-urban Developed,1.3428587,58494.9281539917,996.68251340643
